VBA Project,GUID,Friendly name
DMC_O365SecComp,799d0bb0-fafe-490b-812a-07238b01eb3b,feedback-about-non-delivery-report-5-4-310
DMC_O365SecComp,a79eaf51-dba4-4fd0-b010-075ebafb0242,video-overview-of-basic-bi-capabilities-in-office-365
DMC_O365SecComp,7f61feec-9b3d-4805-a960-07636ba59527,display-a-web-page-folder-or-file-on-a-classic-sharepoint-page
DMC_O365SecComp,d21f7d68-c18b-4253-af8b-0765c86a331b,configure-the-unattended-service-account
DMC_O365SecComp,2496edef-5bc4-4bd5-8b14-076894374a3f,automatically-created-managed-properties-in-sharepoint
DMC_O365SecComp,2b98f39e-649f-4b00-b025-0775ac996268,integrate-a-yammer-network-into-sharepoint-server-2013-and-office-365
DMC_O365SecComp,d7e9281d-6350-445e-9c5f-077792e6ab42,project-online-in-office-365admin-help
DMC_O365SecComp,56a95840-704c-4aa0-9d37-078e7ab4f83c,onedrive-for-business-overview
DMC_O365SecComp,2d11e10c-c224-46a6-8c03-07913b38c13e,use-excel-services-with-secure-store
DMC_O365SecComp,f7985f7b-c1f6-4cb7-b2ba-079a6375b379,new-office-365-web-experiences-to-help-you-get-started-and-simplify-working-with
DMC_O365SecComp,e2fc010d-e830-4eda-97e4-07dee388ccee,monitoring-scenarios
DMC_O365SecComp,50855943-c151-42bf-b6ea-07f2bb366ecc,default-sharepoint-groups-in-sharepoint-server
DMC_O365SecComp,543fb112-ecf5-47ae-b096-07f3f942a089,video-create-dns-records-at-1-1-internet-for-office-365
DMC_O365SecComp,45043f8e-bfd2-441e-9098-0829dfaddb48,import-contacts-from-your-device-into-connections
DMC_O365SecComp,7a2efd75-0771-4897-ba7b-082fe5bfa9da,create-dns-records-at-aws
DMC_O365SecComp,95e30367-f099-424e-ab50-0833919b0e91,troubleshoot-site-collection-upgrade-issues
DMC_O365SecComp,1cf1ac48-193f-44f2-aa4d-0838476953e4,team-news-in-the-sharepoint-mobile-app-for-windows-10-mobile
DMC_O365SecComp,6fb08aaa-4dda-4231-8e70-083a8fb0e376,configure-cascading-filters
DMC_O365SecComp,4a62b5ab-1b03-43db-8a3e-083ad13340fb,how-the-recycle-bin-works-in-sharepoint-online
DMC_O365SecComp,c6cdbdeb-e5e1-46a3-9f19-08502bfddf9d,bcs-node
DMC_O365SecComp,987f22e3-53cc-4e6a-93e7-0851af4f31db,immediate-translations-for-the-machine-translation-service-are-disabled
DMC_O365SecComp,4149329a-2b3b-4cb8-abcf-0887a1d8406b,connect-to-the-securitycompliance-center-using-remote-powershell
DMC_O365SecComp,505750af-651a-4eb8-bccc-088fa403f98a,mobile
DMC_O365SecComp,34e57a00-2a7d-469c-beec-089423f18369,create-dns-records-at-dyn-com
DMC_O365SecComp,cbb210e8-2969-4fd5-a82d-08ad1996c5b4,plan-trusted-data-connection-libraries
DMC_O365SecComp,f44fe5dc-e8fd-4a7b-aafa-08b3b7f2530d,ms-o365-cc-editholdpolicy
DMC_O365SecComp,fa6792b2-2c8c-4ed3-ac72-08d4cab5d73b,ms-o365-cc-encryptionhelp
DMC_O365SecComp,6dd83ab3-12df-459b-82e9-08ecfb35e4cf,create-an-analysis-services-scorecard
DMC_O365SecComp,efc126dd-1916-432a-8de6-08f1a5b822b3,use-the-kindle-instant-prevew-web-part
DMC_O365SecComp,0d8e402f-f88b-497e-aaae-090cdaa72e7f,taiwan-market-specific
DMC_O365SecComp,4fb0235c-01e7-4447-bf91-0915c21b84ad,publish-or-unpublish-your-booking-page
DMC_O365SecComp,9264a27c-866e-498e-9503-09233c8d6cd1,get-started-with-office-365-0
DMC_O365SecComp,21c093b8-bf4f-4793-99f0-0963a513b61c,ms-o365-cc-assignretentionpolicy
DMC_O365SecComp,e37d1728-d5d7-4433-8e2e-098aeb40d24f,video-add-an-email-alias-to-a-user-account-nib
DMC_O365SecComp,62390db6-0836-469c-a913-09be7bb30d87,ms-o365-cc-searcherrordetails
DMC_O365SecComp,77ff780d-ab19-4553-adea-09cb65ad0f1f,office-365-adoption-content-pack
DMC_O365SecComp,955084c9-91e1-4f66-9ec4-09d2816c5c6f,plan-excel-services-global-settings
DMC_O365SecComp,9db96e9f-a622-4d5d-b134-09dcace55b6a,enable-the-power-bi-adoption-content-pack-for-office-365
DMC_O365SecComp,30e1aab0-a5cc-4363-b7f2-09e2ae07d4dc,differences-between-the-new-and-classic-experiences-for-lists-and-libraries
DMC_O365SecComp,8c63518d-4977-4bea-a376-09ec71b7ff56,migration-assessment-scan-secure-store
DMC_O365SecComp,26de1fdc-d98b-4dfa-8d46-09fa1ee4e417,configure-synchronization-on-all-document-libraries
DMC_O365SecComp,d1d377f3-77d5-4023-82d6-0a04e8c74ba4,enable-a-library-or-list-as-a-catalog-in-sharepoint
DMC_O365SecComp,8e297567-1355-4d92-940a-0a20f9b399d6,stage-14-configure-refiners-for-faceted-navigation
DMC_O365SecComp,ae97bdaa-8396-4abc-a35b-0a2b4d114cc3,do-not-use_office-365-reports-in-the-admin-center-previewsharepoint-file-activit
DMC_O365SecComp,ad994442-0eb7-47f8-819f-0a3813836519,choose-between-public-and-private-domain-registration-in-office-365
DMC_O365SecComp,a16bdaa4-73d6-45f8-897f-0a3cb8131763,using-sharepoint-in-windows-10
DMC_O365SecComp,726b5033-0b64-4750-bf2e-0a57c398c8a7,change-nameservers-at-heart-internet
DMC_O365SecComp,4c8d76e7-2379-41f3-a100-0aa6acb2e1da,use-an-external-list-with-visio
DMC_O365SecComp,fbbf663b-1e76-46d2-a417-0aa78ed2fb9a,troubleshoot-office-installation-issues
DMC_O365SecComp,75545757-36c3-46a7-beed-0aaa74f0401e,what-is-a-sharepoint-team-site
DMC_O365SecComp,397e6c1c-6a04-4ec7-8a09-0ab147730700,benefits-of-web-platform-consolidation-white-paper
DMC_O365SecComp,ef4c6a39-24f8-469e-9b14-0abfadaa6c8b,plan-for-least-privileged-administration
DMC_O365SecComp,636bc074-cbc1-49a5-a7cc-0ad9348d3888,obsolete-create-an-external-list
DMC_O365SecComp,823101fb-99b8-4238-b2ff-0ae4ccfc29d9,how-to-add-seats-to-your-exchange-online-protection-transition-offers
