Error Type,Topic Guid,Message
Warning,57ca5138-0ae0-4d34-bd40-240441ef2fb6,Missing tables headers in file:57ca5138-0ae0-4d34-bd40-240441ef2fb6.md
Warning,5986b9e1-c824-4f8f-9b7d-a2b0ae2a7fe9,Found a an ul list inside a table in html file:5986b9e1-c824-4f8f-9b7d-a2b0ae2a7fe9.xml
Warning,5a6f2d7f-d998-4f31-b4f5-f7cbf6f38578,Missing tables headers in file:5a6f2d7f-d998-4f31-b4f5-f7cbf6f38578.md
Warning,5b9a067b-9d2e-4aa5-bb33-99d8c0d0b5d7,Found a an ul list inside a table in html file:5b9a067b-9d2e-4aa5-bb33-99d8c0d0b5d7.xml
Warning,5b9a067b-9d2e-4aa5-bb33-99d8c0d0b5d7,Fixing missing end table tag in file:5b9a067b-9d2e-4aa5-bb33-99d8c0d0b5d7.md
Warning,5b9a067b-9d2e-4aa5-bb33-99d8c0d0b5d7,Fixing missing end table tag in file:5b9a067b-9d2e-4aa5-bb33-99d8c0d0b5d7.md
Warning,5b9a067b-9d2e-4aa5-bb33-99d8c0d0b5d7,Fixing missing end table tag in file:5b9a067b-9d2e-4aa5-bb33-99d8c0d0b5d7.md
Warning,5b9a067b-9d2e-4aa5-bb33-99d8c0d0b5d7,Fixing missing end table tag in file:5b9a067b-9d2e-4aa5-bb33-99d8c0d0b5d7.md
Warning,5b9a067b-9d2e-4aa5-bb33-99d8c0d0b5d7,Fixing missing end table tag in file:5b9a067b-9d2e-4aa5-bb33-99d8c0d0b5d7.md
Warning,5b9a067b-9d2e-4aa5-bb33-99d8c0d0b5d7,Fixing missing end table tag in file:5b9a067b-9d2e-4aa5-bb33-99d8c0d0b5d7.md
Warning,5b9a067b-9d2e-4aa5-bb33-99d8c0d0b5d7,Fixing missing end table tag in file:5b9a067b-9d2e-4aa5-bb33-99d8c0d0b5d7.md
Warning,5b9a067b-9d2e-4aa5-bb33-99d8c0d0b5d7,Fixing missing end table tag in file:5b9a067b-9d2e-4aa5-bb33-99d8c0d0b5d7.md
Warning,5b9a067b-9d2e-4aa5-bb33-99d8c0d0b5d7,Found invalid tables saving file:5b9a067b-9d2e-4aa5-bb33-99d8c0d0b5d7.md
Warning,5b9a067b-9d2e-4aa5-bb33-99d8c0d0b5d7,Could not Add new line after images in md file:5b9a067b-9d2e-4aa5-bb33-99d8c0d0b5d7.md
Warning,5c8c1db6-d8ac-4dbb-8a7a-f65d452169b9,Could not Add new line after images in md file:5c8c1db6-d8ac-4dbb-8a7a-f65d452169b9.md
Warning,5ce5cf47-2120-4e51-a403-426a13358b7e,Missing tables headers in file:5ce5cf47-2120-4e51-a403-426a13358b7e.md
Warning,5f02d20f-b9aa-4b2f-ad2d-506a4a3c4540,Could not Add new line after images in md file:5f02d20f-b9aa-4b2f-ad2d-506a4a3c4540.md
Warning,6057daa8-6372-4e77-a636-7ea599a76128,Found nested table in md file:6057daa8-6372-4e77-a636-7ea599a76128.md
Warning,6057daa8-6372-4e77-a636-7ea599a76128,Fixing missing end table tag in file:6057daa8-6372-4e77-a636-7ea599a76128.md
Warning,6057daa8-6372-4e77-a636-7ea599a76128,Fixing missing end table tag in file:6057daa8-6372-4e77-a636-7ea599a76128.md
Warning,6057daa8-6372-4e77-a636-7ea599a76128,Fixing missing end table tag in file:6057daa8-6372-4e77-a636-7ea599a76128.md
